"UF";"Município";"Cargo";"Turno";"Situação totalização";"Votos nominais";"Votos em trânsito";"Votos válidos";"% votos válidos"
"BA";"NOVA FÁTIMA";"Presidente";"2";"Não eleito";"1856";"0";"5069";"36,61"
"BA";"NOVA IBIÁ";"Presidente";"2";"Não eleito";"1260";"0";"3321";"37,94"
"BA";"NOVA ITARANA";"Presidente";"2";"Não eleito";"1081";"0";"3597";"30,05"
"BA";"NOVA REDENÇÃO";"Presidente";"2";"Não eleito";"370";"0";"3940";"9,39"
"BA";"NOVA SOURE";"Presidente";"2";"Não eleito";"2242";"0";"12823";"17,48"
"BA";"NOVA VIÇOSA";"Presidente";"2";"Não eleito";"7832";"0";"18310";"42,77"
"BA";"NOVO HORIZONTE";"Presidente";"2";"Não eleito";"1580";"0";"5986";"26,39"
"BA";"NOVO TRIUNFO";"Presidente";"2";"Não eleito";"1398";"0";"4792";"29,17"
"BA";"OLINDINA";"Presidente";"2";"Não eleito";"1770";"0";"12286";"14,41"
"BA";"OLIVEIRA DOS BREJINHOS";"Presidente";"2";"Não eleito";"2330";"0";"11295";"20,63"
"BA";"OURIÇANGAS";"Presidente";"2";"Não eleito";"1410";"0";"4659";"30,26"
"BA";"OUROLÂNDIA";"Presidente";"2";"Não eleito";"3402";"0";"8402";"40,49"
"BA";"PALMAS DE MONTE ALTO";"Presidente";"2";"Não eleito";"1843";"0";"11988";"15,37"
"BA";"PALMEIRAS";"Presidente";"2";"Não eleito";"764";"0";"4519";"16,91"
"BA";"PARAMIRIM";"Presidente";"2";"Não eleito";"2280";"0";"10760";"21,19"
"BA";"PARATINGA";"Presidente";"2";"Não eleito";"2396";"0";"15112";"15,85"
"BA";"PARIPIRANGA";"Presidente";"2";"Não eleito";"3458";"0";"16373";"21,12"
"BA";"PAU BRASIL";"Presidente";"2";"Não eleito";"1606";"0";"4933";"32,56"
"BA";"PAULO AFONSO";"Presidente";"2";"Não eleito";"8490";"0";"55967";"15,17"
"BA";"PÉ DE SERRA";"Presidente";"2";"Não eleito";"3056";"0";"7801";"39,17"
"BA";"PEDRÃO";"Presidente";"2";"Não eleito";"650";"0";"3969";"16,38"
"BA";"PEDRO ALEXANDRE";"Presidente";"2";"Não eleito";"850";"0";"6132";"13,86"
"BA";"PIATÃ";"Presidente";"2";"Não eleito";"2033";"0";"9948";"20,44"
"BA";"PILÃO ARCADO";"Presidente";"2";"Não eleito";"2269";"0";"16734";"13,56"
"BA";"PINDAÍ";"Presidente";"2";"Não eleito";"1503";"0";"8633";"17,41"
"BA";"PINDOBAÇU";"Presidente";"2";"Não eleito";"3509";"0";"10206";"34,38"
"BA";"PINTADAS";"Presidente";"2";"Não eleito";"2438";"0";"5529";"44,09"
"BA";"PIRAÍ DO NORTE";"Presidente";"2";"Não eleito";"1237";"0";"4002";"30,91"
"BA";"PIRIPÁ";"Presidente";"2";"Não eleito";"1827";"0";"5286";"34,56"
"BA";"PIRITIBA";"Presidente";"2";"Não eleito";"1988";"0";"9077";"21,9"
"BA";"PLANALTINO";"Presidente";"2";"Não eleito";"933";"0";"4379";"21,31"
"BA";"PLANALTO";"Presidente";"2";"Não eleito";"4661";"0";"13000";"35,85"
"BA";"POÇÕES";"Presidente";"2";"Não eleito";"6395";"0";"21546";"29,68"
"BA";"POJUCA";"Presidente";"2";"Não eleito";"6370";"0";"17928";"35,53"
"BA";"PONTO NOVO";"Presidente";"2";"Não eleito";"2486";"0";"7763";"32,02"
"BA";"PORTO SEGURO";"Presidente";"2";"Não eleito";"21166";"0";"55297";"38,28"
"BA";"POTIRAGUÁ";"Presidente";"2";"Não eleito";"1848";"0";"4946";"37,36"
"BA";"PRADO";"Presidente";"2";"Não eleito";"4226";"0";"12415";"34,04"
"BA";"PRESIDENTE DUTRA";"Presidente";"2";"Não eleito";"966";"0";"7982";"12,1"
"BA";"PRESIDENTE JÂNIO QUADROS";"Presidente";"2";"Não eleito";"1364";"0";"6319";"21,59"
"BA";"PRESIDENTE TANCREDO NEVES";"Presidente";"2";"Não eleito";"6507";"0";"13066";"49,8"
"BA";"QUEIMADAS";"Presidente";"2";"Não eleito";"2775";"0";"12840";"21,61"
"BA";"QUINJINGUE";"Presidente";"2";"Não eleito";"4863";"0";"14471";"33,61"
"BA";"QUIXABEIRA";"Presidente";"2";"Não eleito";"1921";"0";"5330";"36,04"
"BA";"RAFAEL JAMBEIRO";"Presidente";"2";"Não eleito";"3887";"0";"11406";"34,08"
"BA";"REMANSO";"Presidente";"2";"Não eleito";"3813";"0";"20822";"18,31"
"BA";"RETIROLÂNDIA";"Presidente";"2";"Não eleito";"1605";"0";"8035";"19,98"
"BA";"RIACHÃO DAS NEVES";"Presidente";"2";"Não eleito";"1738";"0";"12180";"14,27"
"BA";"RIACHÃO DO JACUÍPE";"Presidente";"2";"Não eleito";"4651";"0";"18791";"24,75"
"BA";"RIACHO DE SANTANA";"Presidente";"2";"Não eleito";"3213";"0";"16324";"19,68"
"BA";"RIBEIRA DO AMPARO";"Presidente";"2";"Não eleito";"1002";"0";"7484";"13,39"
"BA";"RIBEIRA DO POMBAL";"Presidente";"2";"Não eleito";"8123";"0";"26288";"30,9"
"BA";"RIBEIRÃO DO LARGO";"Presidente";"2";"Não eleito";"1413";"0";"5116";"27,62"
"BA";"RIO DE CONTAS";"Presidente";"2";"Não eleito";"2188";"0";"8022";"27,27"
"BA";"RIO DO ANTÔNIO";"Presidente";"2";"Não eleito";"1188";"0";"7280";"16,32"
"BA";"RIO DO PIRES";"Presidente";"2";"Não eleito";"1834";"0";"6073";"30,2"
"BA";"RIO REAL";"Presidente";"2";"Não eleito";"5280";"0";"18811";"28,07"
"BA";"RODELAS";"Presidente";"2";"Não eleito";"906";"0";"4410";"20,54"
"BA";"RUY BARBOSA";"Presidente";"2";"Não eleito";"4137";"0";"15023";"27,54"
"BA";"SALINAS DA MARGARIDA";"Presidente";"2";"Não eleito";"1016";"0";"8225";"12,35"
"BA";"SALVADOR";"Presidente";"2";"Não eleito";"447339";"852";"1365889";"32,81"
"BA";"SANTA BÁRBARA";"Presidente";"2";"Não eleito";"1977";"0";"12745";"15,51"
"BA";"SANTA BRÍGIDA";"Presidente";"2";"Não eleito";"1086";"0";"7842";"13,85"
"BA";"SANTA CRUZ CABRÁLIA";"Presidente";"2";"Não eleito";"5540";"0";"11165";"49,62"
"BA";"SANTA CRUZ DA VITÓRIA";"Presidente";"2";"Não eleito";"1045";"0";"2669";"39,15"
"BA";"SANTA INÊS";"Presidente";"2";"Não eleito";"893";"0";"5098";"17,52"
"BA";"SANTA LUZIA";"Presidente";"2";"Não eleito";"1609";"0";"4925";"32,67"
"BA";"SANTA MARIA DA VITÓRIA";"Presidente";"2";"Não eleito";"6043";"0";"20492";"29,49"
"BA";"SANTA RITA DE CÁSSIA";"Presidente";"2";"Não eleito";"2936";"0";"14414";"20,37"
"BA";"SANTA TEREZINHA";"Presidente";"2";"Não eleito";"1238";"0";"5580";"22,19"
"BA";"SANTALUZ";"Presidente";"2";"Não eleito";"6736";"0";"20112";"33,49"
"BA";"SANTANA";"Presidente";"2";"Não eleito";"4098";"0";"13991";"29,29"
"BA";"SANTANÓPOLIS";"Presidente";"2";"Não eleito";"1020";"0";"5817";"17,53"
"BA";"SANTO AMARO";"Presidente";"2";"Não eleito";"6496";"0";"33011";"19,68"
"BA";"SANTO ANTÔNIO DE JESUS";"Presidente";"2";"Não eleito";"15538";"0";"46522";"33,4"
"BA";"SANTO ESTEVÃO";"Presidente";"2";"Não eleito";"5581";"0";"24401";"22,87"
"BA";"SÃO DESIDÉRIO";"Presidente";"2";"Não eleito";"3811";"0";"14553";"26,19"
"BA";"SÃO DOMINGOS";"Presidente";"2";"Não eleito";"1579";"0";"5127";"30,8"
"BA";"SÃO FELIPE";"Presidente";"2";"Não eleito";"4365";"0";"11925";"36,6"
"BA";"SÃO FÉLIX";"Presidente";"2";"Não eleito";"1576";"0";"7478";"21,08"
"BA";"SÃO FÉLIX DO CORIBE";"Presidente";"2";"Não eleito";"2727";"0";"7711";"35,37"
"BA";"SÃO FRANCISCO DO CONDE";"Presidente";"2";"Não eleito";"5063";"0";"22244";"22,76"
"BA";"SÃO GABRIEL";"Presidente";"2";"Não eleito";"1205";"0";"11285";"10,68"
"BA";"SÃO GONÇALO DOS CAMPOS";"Presidente";"2";"Não eleito";"3591";"0";"18977";"18,92"
"BA";"SÃO JOSÉ DA VITÓRIA";"Presidente";"2";"Não eleito";"1234";"0";"3318";"37,19"
"BA";"SÃO JOSÉ DO JACUÍPE";"Presidente";"2";"Não eleito";"1304";"0";"5127";"25,43"
"BA";"SÃO MIGUEL DAS MATAS";"Presidente";"2";"Não eleito";"1967";"0";"6279";"31,33"
"BA";"SÃO SEBASTIÃO DO PASSÉ";"Presidente";"2";"Não eleito";"3799";"0";"23747";"16"
"BA";"SAPEAÇU";"Presidente";"2";"Não eleito";"2644";"0";"10338";"25,58"
"BA";"SÁTIRO DIAS";"Presidente";"2";"Não eleito";"2302";"0";"7977";"28,86"
"BA";"SAUBARA";"Presidente";"2";"Não eleito";"1242";"0";"7493";"16,58"
"BA";"SAÚDE";"Presidente";"2";"Não eleito";"1416";"0";"5581";"25,37"
"BA";"SEABRA";"Presidente";"2";"Não eleito";"4043";"0";"21878";"18,48"
"BA";"SEBASTIÃO LARANJEIRAS";"Presidente";"2";"Não eleito";"871";"0";"4698";"18,54"
"BA";"SENHOR DO BONFIM";"Presidente";"2";"Não eleito";"11907";"0";"35440";"33,6"
