"Mês/Ano";"UF";"Município";"Zona";"Quantidade";"%";
"";"AM";"CAAPIRANGA";"6";"8.152";""
"";"AM";"CANUTAMA";"13";"8.375";""
"";"AM";"CARAUARI";"21";"19.350";""
"";"AM";"CAREIRO";"23";"21.052";""
"";"AM";"CAREIRO DA VÁRZEA";"31";"15.290";""
"";"AM";"COARI";"8";"50.320";""
"";"AM";"CODAJÁS";"7";"14.438";""
"";"AM";"EIRUNEPÉ";"11";"20.769";""
"";"AM";"ENVIRA";"46";"11.453";""
"";"AM";"FONTE BOA";"10";"14.879";""
"";"AM";"GUAJARÁ";"45";"9.532";""
"";"AM";"HUMAITÁ";"17";"28.568";""
"";"AM";"IPIXUNA";"45";"10.772";""
"";"AM";"IRANDUBA";"56";"30.612";""
"";"AM";"ITACOATIARA";"3";"66.385";""
"";"AM";"ITAMARATI";"69";"6.789";""
"";"AM";"ITAPIRANGA";"24";"7.230";""
"";"AM";"JAPURÁ";"48";"4.455";""
"";"AM";"JURUÁ";"50";"7.136";""
"";"AM";"JUTAÍ";"41";"12.412";""
"";"AM";"LÁBREA";"12";"24.266";""
"";"AM";"MANACAPURU";"6";"66.014";""
"";"AM";"MANAQUIRI";"23";"13.165";""
"";"AM";"MANAUS";"1";"95.353";""
"";"AM";"MANAUS";"2";"84.981";""
"";"AM";"MANAUS";"31";"76.411";""
"";"AM";"MANAUS";"32";"114.351";""
"";"AM";"MANAUS";"37";"90.708";""
"";"AM";"MANAUS";"40";"116.510";""
"";"AM";"MANAUS";"58";"112.109";""
"";"AM";"MANAUS";"59";"97.736";""
"";"AM";"MANAUS";"62";"120.056";""
"";"AM";"MANAUS";"63";"119.829";""
"";"AM";"MANAUS";"65";"110.340";""
"";"AM";"MANAUS";"68";"80.800";""
"";"AM";"MANAUS";"70";"100.875";""
"";"AM";"MANICORÉ";"16";"28.013";""
"";"AM";"MARAÃ";"49";"9.620";""
"";"AM";"MAUÉS";"5";"30.959";""
"";"AM";"NHAMUNDÁ";"43";"13.080";""
"";"AM";"NOVA OLINDA DO NORTE";"35";"16.906";""
"";"AM";"NOVO AIRÃO";"34";"10.290";""
"";"AM";"NOVO ARIPUANÃ";"29";"12.347";""
"";"AM";"PARINTINS";"4";"68.263";""
"";"AM";"PAUINI";"44";"10.224";""
"";"AM";"PRESIDENTE FIGUEIREDO";"51";"22.739";""
"";"AM";"RIO PRETO DA EVA";"68";"15.129";""
"";"AM";"SANTA ISABEL DO RIO NEGRO";"30";"7.957";""
"";"AM";"SANTO ANTÔNIO DO IÇÁ";"47";"13.907";""
"";"AM";"SÃO GABRIEL DA CACHOEIRA";"19";"29.195";""
"";"AM";"SÃO PAULO DE OLIVENÇA";"22";"16.924";""
"";"AM";"SÃO SEBASTIÃO DO UATUMÃ";"27";"6.644";""
"";"AM";"SILVES";"24";"7.169";""
"";"AM";"TABATINGA";"36";"33.212";""
"";"AM";"TAPAUÁ";"38";"12.725";""
"";"AM";"TEFÉ";"9";"41.032";""
